"國語注音符號第一式","威妥瑪拼音","國語注音符號第二式","耶魯拼音","法國遠東學院拼音","德國式拼音","華語通用拼音","漢語拼音方案","國語羅馬字:第一聲","第二聲","第三聲","第四聲"
"ㄥ","êng","eng","eng","ngeng","ëng","eng","eng","eng","erng","eeng","enq"
"ㄦ","êrh","er","er","eul","örl","er","er","el","erl","eel","ell"
"ㄈㄚ","fa","fa","fa","fa","fa","fa","fa","fa","far","faa","fah"
"ㄈㄢ","fan","fan","fan","fan","fan","fan","fan","fan","farn","faan","fann"
"ㄈㄤ","fang","fang","fang","fang","fang","fang","fang","fang","farng","faang","fanq"
"ㄈㄟ","fei","fei","fei","fei","fe","fei","fei","fei","feir","feei","fey"
"ㄈㄣ","fên","fen","fen","fen","fën","fen","fen","fen","fern","feen","fenn"
"ㄈㄥ","fêng","feng","feng","feng","fëng","fong","feng","feng","ferng","feeng","fenq"
"ㄈㄛ","fo","fo","fwo","fo","fo","fo","fo","fo","for","foo","foh"
"ㄈㄡ","fou","fou","fou","feou","fou","fou","fou","fou","four","foou","fow"
"ㄈㄨ","fu","fu","fu","fou","fu","fu","fu","fu","fwu","fuu","fuh"
"ㄏㄚ","ha","ha","ha","ha","ha","ha","ha","ha","har","haa","hah"
"ㄏㄞ","hai","hai","hai","hai","hai","hai","hai","hai","hair","hae","hay"
"ㄏㄢ","han","han","han","han","han","han","han","han","harn","haan","hann"
"ㄏㄤ","hang","hang","hang","hang","hang","hang","hang","hang","harng","haang","hanq"
"ㄏㄠ","hao","hau","hau","hao","hau","hao","hao","hau","haur","hao","haw"
"ㄏㄟ","hei","hei","hei","hei","he","hei","hei","hei","heir","heei","hey"
"ㄏㄣ","hên","hen","hen","hen","hën","hen","hen","hen","hern","heen","henn"
"ㄏㄥ","hêng","heng","heng","heng","hëng","heng","heng","heng","herng","heeng","henq"
"ㄏㄜ","ho","he","he","hö","ho","he","he","he","her","hee","heh"
"ㄏㄡ","hou","hou","hou","heou","hou","hou","hou","hou","hour","hoou","how"
"ㄒㄧ","hsi","shi","syi","hi","hsi","si","xi","shi","shyi","shii","shih"
"ㄒㄧㄚ","hsia","shia","sya","hia","hsia","sia","xia","shia","shya","shea","shiah"
"ㄒㄧㄤ","hsiang","shiang","syang","hiang","hsiang","siang","xiang","shiang","shyang","sheang","shianq"
"ㄒㄧㄠ","hsiao","shiau","syau","hiao","hsiao","siao","xiao","shiau","shyau","sheau","shiaw"
"ㄒㄧㄝ","hsieh","shie","sye","hien","hsiä","sie","xie","shie","shye","shiee","shieh"
"ㄒㄧㄢ","hsien","shian","syan","hie","hsiän","sian","xian","shian","shyan","shean","shiann"
"ㄒㄧㄣ","hsin","shin","syin","hin","hsin","sin","xin","shin","shyn","shiin","shinn"
"ㄒㄧㄥ","hsing","shing","sying","hing","hsing","sing","xing","shing","shyng","shiing","shinq"
"ㄒㄧㄡ","hsiu","shiou","syou","hieou","hsiu","siou","xiu","shiou","shyou","sheou","shiow"
"ㄒㄩㄥ","hsiung","shiung","syung","hiong","hsiung","syong","xiong","shiong","shyong","sheong","shionq"
"ㄒㄩ","hsü","shiu","syu","hiu","hsü","syu","xu","shiu","shyu","sheu","shiuh"
"ㄒㄩㄢ","hsüan","shiuan","sywan","hiuan","hsüan","syuan","xuan","shiuan","shyuan","sheuan","shiuann"
"ㄒㄩㄝ","hsüeh","shiue","sywe","hiue","hsüä","syue","xue","shiue","shyue","sheue","shiueh"
"ㄒㄩㄣ","hsün","shiun","syun","hiun","hsün","syun","xun","shiun","shyun","sheun","shiunn"
"ㄏㄨ","hu","hu","hu","hou","hu","hu","hu","hu","hwu","huu","huh"
"ㄏㄨㄚ","hua","hua","hwa","houa","hua","hua","hua","hua","hwa","hoa","huah"
"ㄏㄨㄞ","huai","huai","hwai","houai","huai","huai","huai","huai","hwai","hoai","huay"
"ㄏㄨㄢ","huan","huan","hwan","houan","huan","huan","huan","huan","hwan","hoan","huann"
"ㄏㄨㄤ","huang","huang","hwang","houang","huang","huang","huang","huang","hwang","hoang","huanq"
"ㄏㄨㄟ","hui","huei","hwei","houei","hui","hui","hui","huei","hwei","hoei","huey"
"ㄏㄨㄣ","hun","huen","hwen","houen","hun","hun","hun","huen","hwen","hoen","huenn"
"ㄏㄨㄥ","hung","hung","hung","hong","hung","hong","hong","hong","horng","hoong","honq"
"ㄏㄨㄛ","huo","huo","hwo","houo","huo","huo","huo","huo","hwo","huoo","huoh"
"ㄧ","i","yi","yi","yi","i","yi","yi","i","yi","yii","yih"
"ㄖㄢ","jan","ran","ran","jan","jan","ran","ran","rhan","ran","raan","rann"
"ㄖㄤ","jang","rang","rang","jang","jang","rang","rang","rhang","rang","raang","ranq"
"ㄖㄠ","jao","rau","rau","jao","jau","rao","rao","rhau","rau","rao","raw"
"ㄖㄜ","jê","re","re","jö","jö","re","re","rhe","re","ree","reh"
"ㄖㄣ","jên","ren","ren","jen","jën","ren","ren","rhen","ren","reen","renn"
"ㄖㄥ","jêng","reng","reng","jeng","jëng","reng","reng","rheng","reng","reeng","renq"
"ㄖ","jih","r","r","je","jï","rih","ri","rhy","ry","ryy","ryh"
"ㄖㄨㄛ","jo","ruo","rwo","jo","jo","ruo","ruo","rhuo","ruo","ruoo","ruoh"
"ㄖㄡ","jou","rou","rou","jeou","jou","rou","rou","rhou","rou","roou","row"
"ㄖㄨ","ju","ru","ru","jou","ju","ru","ru","rhu","ru","ruu","ruh"
"ㄖㄨㄢ","juan","ruan","rwan","jouan","juan","ruan","ruan","rhuan","ruan","roan","ruann"
"ㄖㄨㄟ","jui","ruei","rwei","jouei","jui","ruei","rui","rhuei","ruei","roei","ruey"
"ㄖㄨㄣ","jun","ruen","rwun","jouen","jun","run","run","rhuen","ruen","roen","ruenn"
"ㄖㄨㄥ","jung","rung","rung","jong","jung","rong","rong","rhong","rong","roong","ronq"
"ㄍㄚ","ka","ga","ga","ka","ga","ga","ga","ga","gar","gaa","gah"
"ㄎㄚ","k'a","ka","ka","k'a","ka","ka","ka","ka","kar","kaa","kah"
"ㄍㄞ","kai","gai","gai","kai","gai","gai","gai","gai","gair","gae","gay"
"ㄎㄞ","k'ai","kai","kai","k'ai","kai","kai","kai","kai","kair","kae","kay"
"ㄍㄢ","kan","gan","gan","kan","gan","gan","gan","gan","garn","gaan","gann"
"ㄎㄢ","k'an","kan","kan","k'an","kan","kan","kan","kan","karn","kaan","kann"
"ㄍㄤ","kang","gang","gang","kang","gang","gang","gang","gang","garng","gaang","ganq"
"ㄎㄤ","k'ang","kang","kang","k'ang","kang","kang","kang","kang","karng","kaang","kanq"
"ㄍㄠ","kao","gau","gau","kao","gau","gao","gao","gau","gaur","gao","gaw"
"ㄎㄠ","k'ao","kau","kau","k'ao","kau","kao","kao","kau","kaur","kao","kaw"
"ㄍㄟ","kei","gei","gei","kei","ge","gei","gei","gei","geir","geei","gey"
"ㄍㄣ","kên","gen","gen","ken","gën","gen","gen","gen","gern","geen","genn"
"ㄎㄣ","k'ên","ken","ken","k'en","kën","ken","ken","ken","kern","keen","kenn"
"ㄍㄥ","kêng","geng","geng","keng","gëng","geng","geng","geng","gerng","geeng","genq"
"ㄎㄥ","k'êng","keng","keng","k'eng","këng","keng","keng","keng","kerng","keeng","kenq"
"ㄍㄜ","kê","ge","ge","kö","gö","ge","ge","ge","ger","gee","geh"
"ㄎㄜ","k'o","ke","ke","k'ö","kö","ke","ke","ke","ker","kee","keh"
